created_month,Отмены ЦФЗ без отмен курьера,late_15_30_min,late_31_60_min,late_more_61_min,,Выдано компенсаций (отмены ЦФЗ),Использовано компенсаций (отмены ЦФЗ),Сумма использованных компенсаций (отмены ЦФЗ),,,
2025-10-01,2 233 852,1 183 534,240 685,47 336,,4 576,1 996,"р.259 747,70",,"0,20%","0,4361888112"
2025-11-01,2 184 232,1 373 242,324 564,90 926,,6 149,3 287,"р.463 182,09",,"р.219 665 331,27","325,2860042"
2025-12-01,2 408 618,1 927 936,553 059,190 451,,9 151,4 855,"р.804 336,50",,"р.675 299,06",
2026-01-01,2 071 957,2 128 534,757 733,285 396,,11 209,6 796,"р.1 173 929,93",,,
,,,,,,,,,,,
Среднее,2 224 665,1 653 312,469 010,153 527,,,,,,,
Процент использования % скидки,"0,67","0,58",,,,,,,,,
Средняя сумма использования % скидки (₽),223,,,,,,,,,,
Сколько сейчас выдаем % за то же,,46 100,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Сколько в сумме будет прироста в рублях,331 622 074,239 915 359,70 011 173,22 917 672,,,,,,,
,287 013 607,236 199 762,66 295 576,19 202 075,,,,,,,
,,,Всего за опоздания в январе (₽),3 715 597,,,,,,,
,,,,,,,,,,,
,Итого теряем ,571 537 433,401 633 247,354 539 746,,,,,,,
,,27,20,18,,,,,,,
